id,hotel_id,room_type,description,price_per_night,capacity,amenities
1,1,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",181,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
2,1,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",273,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
3,1,Chambre Deluxe,"Chambre premium de 38 m² bénéficiant d'une vue dégagée. Literie cinq étoiles, salle de bain en marbre avec douche à l'italienne et baignoire îlot, plateau de courtoisie garni.",412,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
4,1,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",559,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
5,1,Suite Royale,"Suite signature de l'établissement, 120 m² habillés de matériaux nobles — marbre de Carrare, soieries et bois précieux. Service de majordome 24h/24, transfert en limousine et accès au spa privatif.",3306,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
6,2,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",165,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
7,2,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",235,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
8,2,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",480,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
9,2,Suite Prestige,"Suite de 90 m² au dernier étage, offrant une vue à 180° sur les monuments et les toits. Salon de réception, salle à manger privée, chambre aux volumes majestueux et salle de bain spa avec jacuzzi.",840,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
10,2,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",1975,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
11,3,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",156,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
12,3,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",320,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
13,3,Chambre Deluxe,"Chambre premium de 38 m² bénéficiant d'une vue dégagée. Literie cinq étoiles, salle de bain en marbre avec douche à l'italienne et baignoire îlot, plateau de courtoisie garni.",338,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
14,3,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",576,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
15,3,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",2752,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
16,4,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",183,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
17,4,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",493,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
18,4,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",733,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
19,4,Suite Prestige,"Suite de 90 m² au dernier étage, offrant une vue à 180° sur les monuments et les toits. Salon de réception, salle à manger privée, chambre aux volumes majestueux et salle de bain spa avec jacuzzi.",1093,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
20,5,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",169,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
21,5,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",302,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
22,5,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",687,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
23,6,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",152,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
24,6,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",251,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
