id,name,address,city,country,latitude,longitude,stars,phone,description,facilities,price_from
1,Hotel Paris,21 avenue du Vieux-Port,Paris,France,48.873554,2.343724,5,+45642080280,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",126
2,Hotel Panorama,136 place de la Liberté,Rome,Italy,41.881919,12.507948,5,+35840273984,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",358
3,La Villa Côté Jardin,142 avenue du Faubourg,Bordeaux,France,44.836642,-0.586586,3,+34707780127,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",286
4,Le Château Florence,195 impasse de l'Église,Florence,Italy,43.754276,11.246726,3,+32445825137,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",312
5,Maison Panorama,200 rue de la Paix,Marseille,France,43.27232,5.364454,3,+44621847291,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",206
6,Domaine Baden-Baden,100 boulevard du Général de Gaulle,Baden-Baden,Germany,48.785435,8.220267,4,+36214243905,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",154
7,Maison Dubai,164 boulevard de Rivoli,Dubai,United Arab Emirates,25.209647,55.284802,3,+43317073765,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",141
8,The Oslo,94 place des Tanneurs,Oslo,Norway,59.901409,10.747379,4,+39529060762,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",133
9,La Villa Royal,84 impasse de l'Église,San Sebastián,Spain,43.321861,-1.970461,4,+38771142424,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",302
10,Résidence Tradition,104 boulevard Saint-Michel,Munich,Germany,48.124601,11.568554,4,+35433710907,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",126
